word,mean,root,count,date
faculty,교수진/단과대학(학부),faculti,1,2026-03-29
division,나눗셈 / 분할 / 부서 ,divid,0,2026-03-29
commission,수수료 / 위원회 / 의뢰하다,commiss,1,2026-03-29
refer,언급하다 / 참고하다 / 보내다 / 추천하다,refer,0,2026-03-29
extensive,광범위한 / 대규모의 / 폭넓은,extens,0,2026-03-29
electronic,전자(의) / 전자기기와 관련된,electron,1,2026-03-29
headquarters,본사 / 본부,headquart,0,2026-03-29
attendant,"직원 , 수행원",attend,0,2026-03-29
accustom,익숙하게 하다 / 적응시키다,accustom,0,2026-03-29
recruiter,채용 담당자 / 모집 담당자,recruit,0,2026-03-29
recruitment,채용 / 모집,recruit,0,2026-03-29
recruit,채용하다 / 모집하다 / 신입,recruit,0,2026-03-29
authorized,허가된 / 승인된 / 권한을 받은,author,1,2026-03-29
access,접근 / 이용 권한 / 접속하다,access,1,2026-03-29
compliance,순응 / 준수,complianc,0,2026-03-29
adhere,고수하다 / 지키다,adher,0,2026-03-29
apprehensive,걱정하는 / 불안한 / 염려하는,apprehens,0,2026-03-29
entitle,제목을 붙이다 / 권리를 주다,entitl,0,2026-03-29
draw,그리다 / 끌다 / 인출하다 / 무승부,draw,0,2026-03-29
travel,여행하다 / 여행,travel,0,2026-03-29
treble,트레블 / 3관왕 / 세 배의,trebl,0,2026-03-29
waste,낭비하다 / 폐기물,wast,1,2026-03-29
ensure,보장하다 / 확실하게 하다,ensur,1,2026-03-29
assure,안심시키다 / 확신시키다,assur,0,2026-03-29
outlet,콘센트 / 배출구 / 판매점,outlet,0,2026-03-29
severe,심한 / 심각한 / 혹독한 / 엄격한,sever,1,2026-03-29
severely,심하게 / 심각하게,sever,0,2026-03-29
sternly,엄하게 / 단호하게 / 엄격하게,sternli,0,2026-03-29
certificate,증명서 / 자격증 / 수료증,certif,0,2026-03-29
prospective,예상되는 / 장래의 / 잠재적인,prospect,1,2026-03-29
application,신청 / 지원 / 신청서 / 적용 ,apply,0,2026-03-29
proficient,능숙한 / 숙련된,profici,1,2026-03-29
acquaint,알려주다 / 익숙하게 하다,acquaint,0,2026-03-29
acquaintance,지인 / 아는 사람,acquaint,0,2026-03-29
delegate,대표자 / 위임하다 / 맡기다,deleg,1,2026-03-29
delegation,대표단 / 위임,deleg,0,2026-03-29
absolute,절대적인 / 완전한 / 전적인,absolut,0,2026-03-29
lax,느슨한 / 엄격하지 않은 / 허술한,lax,0,2026-03-29
hasten,서두르다 / 재촉하다 / 앞당기다,hasten,1,2026-03-29
combined,합쳐진 / 결합된,combin,1,2026-03-29
combination,결합 / 조합 / 혼합,combin,0,2026-03-29
joint,공동의 / 합동의 / 관절 / 연결 부위,joint,0,2026-03-29
fulfill,이행하다 / 이루다 / 충족시키다,fulfil,0,2026-03-29
accomplished,성취한 / 완수한 / 능숙한,accomplish,0,2026-03-29
assume,가정하다 / 추정하다 / 맡다,assum,0,2026-03-29
presume,짐작하다 / 추정하다 / 당연하게 여기다,presum,0,2026-03-29
occasion,때 / 경우 / 행사 / 기념일,occas,0,2026-03-29
adapt,적응하다 / 맞게 바꾸다 / 각색하다,adapt,1,2026-03-29
agreement,동의 / 계약 / 협정,agree,0,2026-03-29
direct,직접적인 / 지시하다 / 감독하다,direct,0,2026-03-29
confidential,기밀의 / 비밀의 / 비공개인,confidenti,1,2026-03-29
confidentiality,기밀성 / 비밀 유지,confidenti,0,2026-03-29
formal,공식적인 / 격식을 갖춘 / 형식적인,formal,0,2026-03-29
collective,집단의 / 공동의 / 집합적인,collect,1,2026-03-29
accountability,책임 / 설명 책임 / 책임 의식,account,0,2026-03-29
engage,참여하다 / 관여하다 / 관심을 끌다 / 고용하다,engag,1,2026-03-29
engagement,참여 / 관여 / 약혼 / 약속,engag,0,2026-03-29
discern,분별하다 / 식별하다 / 알아차리다,discern,0,2026-03-29
confine,제한하다 / 국한시키다 / 가두다,confin,0,2026-03-29
term,기간 / 용어 / 조건,term,1,2026-03-29
alter,바꾸다 / 변경하다 / 수정하다,alter,0,2026-03-29
oriented,~지향적인 / ~중심의,orient,0,2026-03-29
orient,방향을 잡다 / 적응시키다 / ~에 맞추다,orient,0,2026-03-29
intent,의도 / 목적 / 집중한,intent,0,2026-03-29
intention,의도 / 의향 / 목적 / 계획,intent,0,2026-03-29
intently,집중해서 / 주의 깊게 / 골똘히,intent,1,2026-03-29
in duplicate,두 부로 / 동일한 것을 두 개로,in dupl,0,2026-03-29
adjust,조정하다 / 맞추다 / 적응하다,adjust,1,2026-03-29
adjustable,조절 가능한 / 조정 가능한,adjust,0,2026-03-29
adjacent,인접한 / 바로 옆의,adjac,1,2026-03-29
arrange,정리하다 / 배열하다 / 준비하다 / 계획하다,arrang,1,2026-03-29
payroll,급여 명단 / 급여 지급 / 급여 총액,payrol,0,2026-03-29
prerequisite,필수 조건 / 선행 조건 / 전제 조건,prerequisit,1,2026-03-29
condition,조건 / 상태 / 건강 상태,condit,1,2026-03-29
authorize,허가하다 / 승인하다 / 권한을 주다,author,0,2026-03-29
authorization,허가 / 승인 / 권한 부여,author,0,2026-03-29
authority,권한 / 당국 / 권위,author,0,2026-03-29
drastic,과감한 / 급격한 / 강력한 / 대대적인,drastic,1,2026-03-29
release,공개하다 / 출시하다 / 석방하다 / 방출하다,releas,0,2026-03-29
submission,제출 / 복종,submiss,0,2026-03-29
